item_id,trajectory_id,base_correct,selector,step_index,q_native_confirm,q_repair_confirm,delta_confirm
0,0,False,random_checkpoint,48,0.0,0.0,0.0
0,0,False,earliest_eligible,8,0.25,0.125,-0.125
0,0,False,normalized_quarter,16,0.0,0.25,0.25
0,0,False,normalized_midpoint,32,0.0,1.0,1.0
0,0,False,normalized_three_quarter,48,0.0,0.0,0.0
0,0,False,confidence_low,8,0.25,0.125,-0.125
0,0,False,entropy_high,8,0.25,0.125,-0.125
0,0,False,mask_ratio,8,0.25,0.125,-0.125
0,0,False,oof_state_value,48,0.0,0.0,0.0
0,0,False,oracle_localization,16,0.0,0.25,0.25
0,2,True,random_checkpoint,32,1.0,1.0,0.0
0,2,True,earliest_eligible,8,0.625,0.5,-0.125
0,2,True,normalized_quarter,16,1.0,1.0,0.0
0,2,True,normalized_midpoint,32,1.0,1.0,0.0
0,2,True,normalized_three_quarter,48,1.0,1.0,0.0
0,2,True,confidence_low,8,0.625,0.5,-0.125
0,2,True,entropy_high,8,0.625,0.5,-0.125
0,2,True,mask_ratio,8,0.625,0.5,-0.125
0,2,True,oof_state_value,56,1.0,1.0,0.0
0,2,True,oracle_localization,24,1.0,1.0,0.0
1,0,False,random_checkpoint,24,0.0,0.0,0.0
1,0,False,earliest_eligible,8,0.0,0.0,0.0
1,0,False,normalized_quarter,16,0.25,0.5,0.25
1,0,False,normalized_midpoint,32,0.0,0.0,0.0
1,0,False,normalized_three_quarter,48,0.0,0.0,0.0
1,0,False,confidence_low,8,0.0,0.0,0.0
1,0,False,entropy_high,8,0.0,0.0,0.0
1,0,False,mask_ratio,8,0.0,0.0,0.0
1,0,False,oof_state_value,32,0.0,0.0,0.0
1,0,False,oracle_localization,56,0.0,1.0,1.0
2,0,False,random_checkpoint,64,0.0,,
2,0,False,earliest_eligible,8,0.0,0.0,0.0
2,0,False,normalized_quarter,16,0.0,0.0,0.0
2,0,False,normalized_midpoint,32,0.0,0.0,0.0
2,0,False,normalized_three_quarter,48,0.0,0.0,0.0
2,0,False,confidence_low,8,0.0,0.0,0.0
2,0,False,entropy_high,8,0.0,0.0,0.0
2,0,False,mask_ratio,8,0.0,0.0,0.0
2,0,False,oof_state_value,48,0.0,0.0,0.0
2,0,False,oracle_localization,8,0.0,0.0,0.0
3,0,True,random_checkpoint,8,1.0,1.0,0.0
3,0,True,earliest_eligible,8,1.0,1.0,0.0
3,0,True,normalized_quarter,16,1.0,1.0,0.0
3,0,True,normalized_midpoint,32,1.0,1.0,0.0
3,0,True,normalized_three_quarter,48,1.0,1.0,0.0
3,0,True,confidence_low,8,1.0,1.0,0.0
3,0,True,entropy_high,8,1.0,1.0,0.0
3,0,True,mask_ratio,8,1.0,1.0,0.0
3,0,True,oof_state_value,24,1.0,1.0,0.0
3,0,True,oracle_localization,8,1.0,1.0,0.0
3,3,False,random_checkpoint,48,0.0,0.0,0.0
3,3,False,earliest_eligible,8,0.125,0.375,0.25
3,3,False,normalized_quarter,16,0.0,0.0,0.0
3,3,False,normalized_midpoint,32,0.0,0.0,0.0
3,3,False,normalized_three_quarter,48,0.0,0.0,0.0
3,3,False,confidence_low,8,0.125,0.375,0.25
3,3,False,entropy_high,8,0.125,0.375,0.25
3,3,False,mask_ratio,8,0.125,0.375,0.25
3,3,False,oof_state_value,24,0.0,0.0,0.0
3,3,False,oracle_localization,8,0.125,0.375,0.25
4,0,False,random_checkpoint,16,0.0,0.0,0.0
4,0,False,earliest_eligible,8,0.0,0.125,0.125
4,0,False,normalized_quarter,16,0.0,0.0,0.0
4,0,False,normalized_midpoint,32,0.0,0.0,0.0
4,0,False,normalized_three_quarter,48,0.0,0.0,0.0
4,0,False,confidence_low,8,0.0,0.125,0.125
4,0,False,entropy_high,8,0.0,0.125,0.125
4,0,False,mask_ratio,8,0.0,0.125,0.125
4,0,False,oof_state_value,48,0.0,0.0,0.0
4,0,False,oracle_localization,8,0.0,0.125,0.125
4,7,True,random_checkpoint,24,1.0,1.0,0.0
4,7,True,earliest_eligible,8,1.0,1.0,0.0
4,7,True,normalized_quarter,16,1.0,1.0,0.0
4,7,True,normalized_midpoint,32,1.0,1.0,0.0
4,7,True,normalized_three_quarter,48,1.0,1.0,0.0
4,7,True,confidence_low,8,1.0,1.0,0.0
4,7,True,entropy_high,8,1.0,1.0,0.0
4,7,True,mask_ratio,8,1.0,1.0,0.0
4,7,True,oof_state_value,40,1.0,1.0,0.0
4,7,True,oracle_localization,8,1.0,1.0,0.0
5,0,True,random_checkpoint,56,1.0,1.0,0.0
5,0,True,earliest_eligible,8,1.0,0.75,-0.25
5,0,True,normalized_quarter,16,1.0,1.0,0.0
5,0,True,normalized_midpoint,32,1.0,1.0,0.0
5,0,True,normalized_three_quarter,48,1.0,1.0,0.0
5,0,True,confidence_low,8,1.0,0.75,-0.25
5,0,True,entropy_high,8,1.0,0.75,-0.25
5,0,True,mask_ratio,8,1.0,0.75,-0.25
5,0,True,oof_state_value,24,1.0,1.0,0.0
5,0,True,oracle_localization,16,1.0,1.0,0.0
5,6,False,random_checkpoint,24,0.0,0.0,0.0
5,6,False,earliest_eligible,8,0.625,0.875,0.25
5,6,False,normalized_quarter,16,0.0,0.125,0.125
5,6,False,normalized_midpoint,32,0.0,0.0,0.0
5,6,False,normalized_three_quarter,48,0.0,0.0,0.0
5,6,False,confidence_low,8,0.625,0.875,0.25
5,6,False,entropy_high,8,0.625,0.875,0.25
5,6,False,mask_ratio,8,0.625,0.875,0.25
5,6,False,oof_state_value,24,0.0,0.0,0.0
5,6,False,oracle_localization,8,0.625,0.875,0.25
6,0,True,random_checkpoint,40,1.0,1.0,0.0
6,0,True,earliest_eligible,8,0.625,0.5,-0.125
6,0,True,normalized_quarter,16,1.0,1.0,0.0
6,0,True,normalized_midpoint,32,1.0,1.0,0.0
6,0,True,normalized_three_quarter,48,1.0,1.0,0.0
6,0,True,confidence_low,8,0.625,0.5,-0.125
6,0,True,entropy_high,8,0.625,0.5,-0.125
6,0,True,mask_ratio,8,0.625,0.5,-0.125
6,0,True,oof_state_value,56,1.0,1.0,0.0
6,0,True,oracle_localization,16,1.0,1.0,0.0
6,1,False,random_checkpoint,64,0.0,,
6,1,False,earliest_eligible,8,0.125,0.375,0.25
6,1,False,normalized_quarter,16,0.0,0.0,0.0
6,1,False,normalized_midpoint,32,0.0,0.0,0.0
6,1,False,normalized_three_quarter,48,0.0,0.0,0.0
6,1,False,confidence_low,8,0.125,0.375,0.25
6,1,False,entropy_high,8,0.125,0.375,0.25
6,1,False,mask_ratio,8,0.125,0.375,0.25
6,1,False,oof_state_value,40,0.0,0.0,0.0
6,1,False,oracle_localization,8,0.125,0.375,0.25
7,0,False,random_checkpoint,24,0.0,0.0,0.0
7,0,False,earliest_eligible,8,0.0,0.0,0.0
7,0,False,normalized_quarter,16,0.0,0.0,0.0
7,0,False,normalized_midpoint,32,0.0,0.0,0.0
7,0,False,normalized_three_quarter,48,0.0,0.0,0.0
7,0,False,confidence_low,8,0.0,0.0,0.0
7,0,False,entropy_high,8,0.0,0.0,0.0
7,0,False,mask_ratio,8,0.0,0.0,0.0
7,0,False,oof_state_value,48,0.0,0.0,0.0
7,0,False,oracle_localization,8,0.0,0.0,0.0
7,5,True,random_checkpoint,48,1.0,1.0,0.0
7,5,True,earliest_eligible,8,0.125,0.5,0.375
7,5,True,normalized_quarter,16,0.5,0.0,-0.5
7,5,True,normalized_midpoint,32,1.0,1.0,0.0
7,5,True,normalized_three_quarter,48,1.0,1.0,0.0
7,5,True,confidence_low,8,0.125,0.5,0.375
7,5,True,entropy_high,8,0.125,0.5,0.375
7,5,True,mask_ratio,8,0.125,0.5,0.375
7,5,True,oof_state_value,48,1.0,1.0,0.0
7,5,True,oracle_localization,24,1.0,1.0,0.0
8,0,False,random_checkpoint,8,0.0,0.0,0.0
8,0,False,earliest_eligible,8,0.0,0.0,0.0
8,0,False,normalized_quarter,16,0.0,0.0,0.0
8,0,False,normalized_midpoint,32,0.0,0.0,0.0
8,0,False,normalized_three_quarter,48,0.0,0.0,0.0
8,0,False,confidence_low,8,0.0,0.0,0.0
8,0,False,entropy_high,8,0.0,0.0,0.0
8,0,False,mask_ratio,8,0.0,0.0,0.0
8,0,False,oof_state_value,24,0.0,0.0,0.0
8,0,False,oracle_localization,8,0.0,0.0,0.0
9,0,False,random_checkpoint,16,0.0,0.0,0.0
9,0,False,earliest_eligible,8,0.0,0.375,0.375
9,0,False,normalized_quarter,16,0.0,0.0,0.0
9,0,False,normalized_midpoint,32,0.0,0.0,0.0
9,0,False,normalized_three_quarter,48,0.0,0.0,0.0
9,0,False,confidence_low,8,0.0,0.375,0.375
9,0,False,entropy_high,8,0.0,0.375,0.375
9,0,False,mask_ratio,8,0.0,0.375,0.375
9,0,False,oof_state_value,48,0.0,0.0,0.0
9,0,False,oracle_localization,8,0.0,0.375,0.375
9,3,True,random_checkpoint,16,0.75,0.875,0.125
9,3,True,earliest_eligible,8,0.75,0.625,-0.125
9,3,True,normalized_quarter,16,0.75,0.875,0.125
9,3,True,normalized_midpoint,32,0.875,1.0,0.125
9,3,True,normalized_three_quarter,48,1.0,1.0,0.0
9,3,True,confidence_low,8,0.75,0.625,-0.125
9,3,True,entropy_high,8,0.75,0.625,-0.125
9,3,True,mask_ratio,8,0.75,0.625,-0.125
9,3,True,oof_state_value,48,1.0,1.0,0.0
9,3,True,oracle_localization,24,1.0,1.0,0.0
10,0,False,random_checkpoint,8,0.0,0.0,0.0
10,0,False,earliest_eligible,8,0.0,0.0,0.0
10,0,False,normalized_quarter,16,0.0,0.0,0.0
10,0,False,normalized_midpoint,32,0.0,0.0,0.0
10,0,False,normalized_three_quarter,48,0.0,0.0,0.0
10,0,False,confidence_low,8,0.0,0.0,0.0
10,0,False,entropy_high,8,0.0,0.0,0.0
10,0,False,mask_ratio,8,0.0,0.0,0.0
10,0,False,oof_state_value,56,0.0,0.0,0.0
10,0,False,oracle_localization,8,0.0,0.0,0.0
11,0,False,random_checkpoint,56,0.0,0.0,0.0
11,0,False,earliest_eligible,8,0.0,0.0,0.0
11,0,False,normalized_quarter,16,0.0,0.0,0.0
11,0,False,normalized_midpoint,32,0.0,0.0,0.0
11,0,False,normalized_three_quarter,48,0.0,0.0,0.0
11,0,False,confidence_low,16,0.0,0.0,0.0
11,0,False,entropy_high,8,0.0,0.0,0.0
11,0,False,mask_ratio,8,0.0,0.0,0.0
11,0,False,oof_state_value,48,0.0,0.0,0.0
11,0,False,oracle_localization,8,0.0,0.0,0.0
12,0,False,random_checkpoint,16,0.0,0.0,0.0
12,0,False,earliest_eligible,8,0.125,0.125,0.0
12,0,False,normalized_quarter,16,0.0,0.0,0.0
12,0,False,normalized_midpoint,32,0.0,0.0,0.0
12,0,False,normalized_three_quarter,48,0.0,0.0,0.0
12,0,False,confidence_low,8,0.125,0.125,0.0
12,0,False,entropy_high,8,0.125,0.125,0.0
12,0,False,mask_ratio,8,0.125,0.125,0.0
12,0,False,oof_state_value,32,0.0,0.0,0.0
12,0,False,oracle_localization,24,0.125,0.25,0.125
13,0,False,random_checkpoint,16,0.0,0.0,0.0
13,0,False,earliest_eligible,8,0.0,0.0,0.0
13,0,False,normalized_quarter,16,0.0,0.0,0.0
13,0,False,normalized_midpoint,32,0.0,0.0,0.0
13,0,False,normalized_three_quarter,48,0.0,0.0,0.0
